,id,timestamp,timestamp_local,sn,raw_table_id,wd,ws,temp,rh,pm1,pm25,pm10,co2,co,no,no2,o3,so2,h2s,lat,lon,device_state,pm1_model_id,pm25_model_id,pm10_model_id,co2_model_id,co_model_id,no_model_id,no2_model_id,o3_model_id,so2_model_id,h2s_model_id
0,60,2021-10-08T19:11:37Z,2021-10-08T19:11:37Z,MOD-00014,60,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
1,59,2021-10-08T19:10:37Z,2021-10-08T19:10:37Z,MOD-00014,59,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
2,58,2021-10-08T19:09:37Z,2021-10-08T19:09:37Z,MOD-00014,58,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
3,57,2021-10-08T19:08:37Z,2021-10-08T19:08:37Z,MOD-00014,57,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
4,56,2021-10-08T19:07:37Z,2021-10-08T19:07:37Z,MOD-00014,56,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
5,55,2021-10-08T19:06:37Z,2021-10-08T19:06:37Z,MOD-00014,55,0.0,0.0,23.9,46.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
6,54,2021-10-08T19:05:37Z,2021-10-08T19:05:37Z,MOD-00014,54,0.0,0.0,23.9,46.4,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
7,53,2021-10-08T19:04:37Z,2021-10-08T19:04:37Z,MOD-00014,53,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
8,52,2021-10-08T19:03:37Z,2021-10-08T19:03:37Z,MOD-00014,52,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
9,51,2021-10-08T19:02:37Z,2021-10-08T19:02:37Z,MOD-00014,51,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
10,50,2021-10-08T19:01:37Z,2021-10-08T19:01:37Z,MOD-00014,50,0.0,0.0,23.9,46.8,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
11,49,2021-10-08T19:00:37Z,2021-10-08T19:00:37Z,MOD-00014,49,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
12,48,2021-10-08T18:59:37Z,2021-10-08T18:59:37Z,MOD-00014,48,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
13,47,2021-10-08T18:58:37Z,2021-10-08T18:58:37Z,MOD-00014,47,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
14,46,2021-10-08T18:57:37Z,2021-10-08T18:57:37Z,MOD-00014,46,0.0,0.0,23.9,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
15,45,2021-10-08T18:56:37Z,2021-10-08T18:56:37Z,MOD-00014,45,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
16,44,2021-10-08T18:55:37Z,2021-10-08T18:55:37Z,MOD-00014,44,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
17,43,2021-10-08T18:54:37Z,2021-10-08T18:54:37Z,MOD-00014,43,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
18,42,2021-10-08T18:53:37Z,2021-10-08T18:53:37Z,MOD-00014,42,0.0,0.0,23.9,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
