id,timestamp,timestamp_local,sn,raw_table_id,wd,ws,sample_temp,sample_rh,pm1,pm25,pm10,co2,co,no,no2,o3,so2,h2s,lat,lon,device_state,pm1_model_id,pm25_model_id,pm10_model_id,co2_model_id,co_model_id,no_model_id,no2_model_id,o3_model_id,so2_model_id,h2s_model_id
1,2021-10-08 18:12:37+00:00,2021-10-08 18:12:37+00:00,MOD-00014,1,0.0,0.0,23.6,47.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
2,2021-10-08 18:13:37+00:00,2021-10-08 18:13:37+00:00,MOD-00014,2,0.0,0.0,23.6,47.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
3,2021-10-08 18:14:37+00:00,2021-10-08 18:14:37+00:00,MOD-00014,3,0.0,0.0,23.6,47.1,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
4,2021-10-08 18:15:37+00:00,2021-10-08 18:15:37+00:00,MOD-00014,4,0.0,0.0,23.7,47.0,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
5,2021-10-08 18:16:37+00:00,2021-10-08 18:16:37+00:00,MOD-00014,5,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
6,2021-10-08 18:17:37+00:00,2021-10-08 18:17:37+00:00,MOD-00014,6,0.0,0.0,23.7,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
7,2021-10-08 18:18:37+00:00,2021-10-08 18:18:37+00:00,MOD-00014,7,0.0,0.0,23.7,46.8,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
8,2021-10-08 18:19:37+00:00,2021-10-08 18:19:37+00:00,MOD-00014,8,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
9,2021-10-08 18:20:37+00:00,2021-10-08 18:20:37+00:00,MOD-00014,9,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
10,2021-10-08 18:21:37+00:00,2021-10-08 18:21:37+00:00,MOD-00014,10,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
12,2021-10-08 18:22:37+00:00,2021-10-08 18:22:37+00:00,MOD-00014,11,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
11,2021-10-08 18:23:37+00:00,2021-10-08 18:23:37+00:00,MOD-00014,12,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
13,2021-10-08 18:24:37+00:00,2021-10-08 18:24:37+00:00,MOD-00014,13,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
14,2021-10-08 18:25:37+00:00,2021-10-08 18:25:37+00:00,MOD-00014,14,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
16,2021-10-08 18:26:37+00:00,2021-10-08 18:26:37+00:00,MOD-00014,15,0.0,0.0,23.7,46.8,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
15,2021-10-08 18:27:37+00:00,2021-10-08 18:27:37+00:00,MOD-00014,16,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
17,2021-10-08 18:28:37+00:00,2021-10-08 18:28:37+00:00,MOD-00014,17,0.0,0.0,23.8,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
18,2021-10-08 18:29:37+00:00,2021-10-08 18:29:37+00:00,MOD-00014,18,0.0,0.0,23.8,46.4,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
