,Unnamed: 0,id,timestamp,timestamp_local,sn,temp_box,temp_manifold,rh_manifold,pressure,dew_point,noise,solar,wind_dir,wind_speed,opc_flow,co2_raw,voc_raw,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,o3_we,o3_ae,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,sample_time,lat,lon,flag,device_state
49,100,7310347,2019-12-13T18:45:07Z,2019-12-13T13:45:07Z,SN000-063,52.0,49.1,33.6,102206,28.8,1415.7,0.8,61.1,0,0.1,467.0,0,1068.0,600.9,787.3,770.4,1896.2,1931.4,1894.8,1875.6,2.278,0.19399999999999998,0.051,0.025,0.001,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
48,99,7310490,2019-12-13T18:46:07Z,2019-12-13T13:46:07Z,SN000-063,51.9,49.0,34.0,102194,28.9,1439.7,1.0,58.1,0,0.1,467.0,0,1066.5,597.9,787.1,769.6,1895.3,1931.0,1893.5,1875.7,2.3280000000000003,0.195,0.051,0.023,0.001,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
47,98,7310494,2019-12-13T18:47:07Z,2019-12-13T13:47:07Z,SN000-063,51.8,48.9,34.3,102190,29.0,1434.0,0.8,61.5,0,0.1,475.0,0,1066.4,593.6,785.5,768.0,1894.3,1931.0,1892.1,1875.8,2.372,0.2,0.053,0.024,0.001,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
46,97,7310499,2019-12-13T18:48:07Z,2019-12-13T13:48:07Z,SN000-063,51.6,48.8,34.6,102192,29.1,1392.5,1.0,57.4,0,0.1,467.5,0,1065.8,591.7,785.1,766.6,1893.2,1930.1,1890.6,1875.5,2.358,0.19899999999999998,0.053,0.024,0.002,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
45,96,7310507,2019-12-13T18:49:07Z,2019-12-13T13:49:07Z,SN000-063,51.5,48.7,34.9,102192,29.1,1437.8,0.8,60.9,0,0.1,469.2,0,1064.2,588.5,784.2,765.1,1892.8,1930.2,1889.6,1875.7,2.3609999999999998,0.192,0.053,0.023,0.001,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
44,95,7310515,2019-12-13T18:50:07Z,2019-12-13T13:50:07Z,SN000-063,51.4,48.6,35.1,102191,29.2,1413.2,1.0,63.0,0,0.1,469.2,0,1062.7,586.2,783.3,763.5,1892.1,1930.0,1888.7,1875.5,2.386,0.201,0.053,0.026000000000000002,0.002,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
43,94,7310671,2019-12-13T18:51:07Z,2019-12-13T13:51:07Z,SN000-063,51.2,48.5,35.3,102188,29.1,1432.2,0.8,59.9,0,0.1,473.0,0,1062.6,585.4,782.9,762.1,1891.1,1929.6,1887.5,1875.8,2.416,0.2,0.053,0.024,0.002,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
42,93,7310676,2019-12-13T18:52:07Z,2019-12-13T13:52:07Z,SN000-063,51.1,48.3,35.5,102183,29.2,1384.2,1.0,60.4,0,0.1,466.0,0,1061.4,582.4,781.5,760.3,1890.7,1929.5,1886.9,1875.5,2.444,0.209,0.055999999999999994,0.025,0.001,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
41,92,7310682,2019-12-13T18:53:07Z,2019-12-13T13:53:07Z,SN000-063,51.0,48.2,35.7,102187,29.2,1385.8,1.0,60.6,0,0.1,469.8,0,1061.3,579.0,780.6,758.9,1890.7,1929.1,1886.8,1875.7,2.468,0.213,0.057999999999999996,0.028999999999999998,0.002,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
40,91,7310688,2019-12-13T18:54:07Z,2019-12-13T13:54:07Z,SN000-063,50.8,48.1,36.0,102184,29.2,1422.3,0.8,56.0,0,0.1,469.0,0,1061.4,579.3,779.6,757.5,1890.4,1928.8,1886.5,1875.6,2.4619999999999997,0.20600000000000002,0.05,0.025,0.001,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
39,90,7310693,2019-12-13T18:55:07Z,2019-12-13T13:55:07Z,SN000-063,50.7,48.0,36.2,102183,29.2,1405.2,1.0,59.6,0,0.1,468.8,0,1061.2,576.9,778.4,755.6,1890.5,1928.7,1886.3,1875.7,2.414,0.198,0.05,0.024,0.001,0.0,0,0,0,0,0,0,0,0,0,10,42.517986,-71.273705,0,CALIBRATION
